SUNDAE,21050090,0.0,ST,nan
COMBO PQ 300ML,21050090,0.0,ST,nan
ADC PACOCA,17049090,0.0,ST,1700102
HOT BROWNIE OVOMALTINE,19059090,18.0,TRIBUTADO,nan
TORTA BELGA - SRVT,21050090,0.0,ST,nan
COMBO FERRERO,21050090,0.0,ST,nan
OPC MAMAO PAPAIA,08072000,18.0,TRIBUTADO,nan
WAFFLE MONTE O SEU,19053100,0.0,ST,1705700
CREME DE NINHO,21050090,0.0,ST,nan
COMBO LOVERS,21050090,0.0,ST,nan
ADC BIS BRANCO,19053200,0.0,ST,1705700
MASSA MISTA,18062000,0.0,ST,nan
OPC NEGRESCO,19053100,0.0,ST,nan
LAKA OREO  - SRVT,21050090,0.0,ST,nan
CASCAO 3 SABOR,21050090,0.0,ST,nan
ACAI C CASTANHA DE CAJU,21050090,0.0,ST,2300100
OPC SONHO DE VALSA,18069000,0.0,ST,nan
TORTA CUBANA - SRVT,21050090,0.0,ST,nan
ADC PASTA DE AMENDOIM,21050090,0.0,ST,2300100
COMBO MALTINE,21050090,0.0,ST,nan
OPC CARAMELO CROCANTE,21050090,0.0,ST,nan
PICOLE COCO,21050090,0.0,ST,nan
ACAI AMAZONE,21050090,0.0,ST,2300100
MILK SHAKE ALCOOL 400ML,21050090,0.0,ST,nan
OPC SENSACAO,18062000,0.0,ST,nan
OPCAO ACAI ZERO,21050090,0.0,ST,2300100
ADC CEREJA 50 GRAMAS,20086010,18.0,TRIBUTADO,nan
OPC MARACUJA,08109015,18.0,TRIBUTADO,nan
CHOCOLATE QUENTE,18069000,0.0,ST,nan
COMBO MEDIO 400ML,21050090,0.0,ST,nan
CASQUINHA SOFTNINHO,21050090,0.0,ST,nan
OVOMALTINE - MEGA CREAM,21050090,0.0,ST,nan
OPC FLORESTA NEGRA,21050090,0.0,ST,nan
ADC SONHO DE VALSA,18069000,0.0,ST,1700600
MORANGO - SUNDAE,21050090,0.0,ST,nan
AMEIXA - SRVT,21050090,0.0,ST,nan
CASCAO 1 SABOR,21050090,0.0,ST,nan
COMBO ESPECIAL 400ML,21050090,0.0,ST,nan
CARAMELO - MEGA SUNDAE,21050090,0.0,ST,nan
ACAI 500ML - SHAKE BATIDO,21050090,0.0,ST,2300100
MARACUJA - MEGA CREAM,21050090,0.0,ST,nan
COPO 4 SABORES - ARTESANAL,21050090,0.0,ST,nan
CASCAO  TRUFADO PISTACHE,21050090,0.0,ST,nan
SUCO DEL VALE MARACUJA LATA,22021000,0.0,ST,nan
ACAI 300ML - SHAKE BATIDO,21050090,0.0,ST,2300100
CASQUINHA 1 SABOR,21050090,0.0,ST,nan
ADC SUFLAIR,19041000,0.0,ST,1703000
COCO RALADO,08011100,18.0,TRIBUTADO,nan
ADC DOCE DE LEITE,19019020,0.0,ST,1702900
POTE 1KG - ARTESANAL,21050090,0.0,ST,nan
CASCAO SOFTNINHO,21050090,0.0,ST,nan
SENSACAO - PICOLE,21050090,0.0,ST,nan
ACAI C MORANGO,21050090,0.0,ST,2300100
